spy_oc_ret,spy_pco_ret,spy_volume,spy_volatility_atr,spy_trend_ichimoku_conv,spy_trend_ichimoku_base,spy_trend_ichimoku_a,spy_trend_ichimoku_b,spy_trend_cci,spy_momentum_rsi,spy_trend_macd,spy_trend_macd_signal,spy_momentum_ppo,spy_momentum_ppo_signal,trade_date,vix_oc_ret,vix_pco_ret,jnk_oc_ret,jnk_pco_ret,hyg_oc_ret,hyg_pco_ret,xle_oc_ret,xle_pco_ret,xlf_oc_ret,xlf_pco_ret,xlk_oc_ret,xlk_pco_ret,xlu_oc_ret,xlu_pco_ret,datecol,week,year,month,Real_PCE,Real_PCE_YoY,Initial_Claims,Initial_Claims_YoY,USD_Daily_Return,Inflation Rate,10yr minus 2yr yield,Inversion Signal,US_Personal_Savings_Rate,US_Real_Disposable_Income,M2_and_Components,Job_Openings_Total_Nonfarm,St_Louis_Fed_Fin_Stress_Index,Chicago_Fed_Fin_Conditions_Index,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
1.123411681300105,-1.105598101607153,1555631,4.026034901090936,188.69,191.46,190.075,196.01,-132.24025706517295,37.43331769514651,-2.7708456905992023,-2.872258389399967,-1.443659191753986,-1.4833766177984014,2016-02-09,-6.219081272084812,8.846153846153848,-0.06292606187728167,-0.4073532483810326,0.1577079773951772,-0.5359477124182962,-0.9303174024078767,-1.4914645103324318,1.8455859735466056,-1.9601930036188138,0.7540301612064461,-1.2072951451322858,0.6918918918918925,-0.3447532859297492,2016-02-09,6,2016,2,12133.3,3.0577663017165913,262000.0,-8.070175438596493,-0.5177591400849946,1.63,1.05,0.0,7.2,13546.1,12545.6,5770.0,1.4016,-0.32173,0,1,0,0,0,0,0,0,0,0,0,0
-0.6115551740786366,0.5285013212532976,1250157,3.9454314109818425,188.69,191.46,190.075,196.01,-89.57958729343248,37.20991333846087,-2.8760128968466177,-2.8730092908892972,-1.5023158617764538,-1.487164466594012,2016-02-10,2.0970873786407735,-2.9766390354182337,-0.6889352818371572,0.5352083114702392,-0.3665881120712243,0.22306783886629278,-0.11080332409971407,-0.29460504511140434,-1.3185495954450037,0.7852612503775235,-0.6397134083930399,0.8516129032258021,0.12914334911752534,-0.236203564526518,2016-02-10,6,2016,2,12133.3,3.0577663017165913,262000.0,-8.070175438596493,-0.1873636991231109,1.63,1.0,0.0,7.2,13546.1,12545.6,5770.0,1.4016,-0.32173,0,1,0,0,0,0,0,0,0,0,0,0
0.28518152901174193,-1.581475684136669,1764966,3.9688882698836587,187.835,190.54000000000002,189.1875,196.01,-175.91259959843433,33.92561368983867,-3.1178844926604086,-2.92198433124352,-1.634084173280868,-1.5165484079313831,2016-02-11,-2.998965873836611,10.346139216432112,0.1590162196544108,-0.8513769182257749,0.25198938992042136,-0.9198423127463715,1.335841956726248,-1.7378443335182192,-0.40548970679975843,-2.6419678105071287,1.043569006000518,-1.2876641771825907,-1.146441704520861,-0.6233877901977778,2016-02-11,6,2016,2,12133.3,3.0577663017165913,262000.0,-8.070175438596493,-0.3441462437743126,1.63,0.99,0.0,7.2,13546.1,12545.6,5770.0,1.4016,-0.32173,0,1,0,0,0,0,0,0,0,0,0,0
0.8919883230619557,1.159356885048658,1027583,3.9509994428952924,186.92000000000002,189.23000000000002,188.07500000000002,196.01,-73.62915133768747,42.478681902036826,-2.9711128427406663,-2.9318100335429493,-1.5596879909611843,-1.5251763245373433,2016-02-12,-6.480117820324012,-3.4825870646766184,1.2336566849430637,0.38103302286198076,1.1336672818349585,0.35719010451117345,1.2454212454212448,1.3739324173783922,1.8671564126109563,2.317569683683063,0.5891393442623053,0.8004131164472045,-0.39352864013992067,0.08752735229759112,2016-02-12,6,2016,2,12133.3,3.0577663017165913,262000.0,-8.070175438596493,0.43952052016567045,1.63,1.03,0.0,7.2,13546.1,12545.6,5770.0,1.4016,-0.32173,0,1,0,0,0,0,0,0,0,0,0,0
0.5350426444879964,1.1466538069978112,896973,3.870899498605764,186.92000000000002,188.435,187.6775,196.01,23.589898684408684,48.47965211794254,-2.5709799222309755,-2.8596440112805546,-1.3500127493889595,-1.4901436095076668,2016-02-16,-3.4054487179487234,-1.7322834645669203,-0.15574706676358185,0.31246745130715253,-0.026038276266106,0.11730969760167285,-0.6760362924746531,1.6823444283646882,-0.0886524822695069,1.6826923076923144,0.6547469151347217,1.1204481792717027,0.13103297663245747,0.5048287971905111,2016-02-16,7,2016,2,12133.3,3.0577663017165913,270000.0,-11.475409836065575,0.9272758475936671,1.63,1.04,0.0,7.2,13546.1,12545.6,5770.0,0.4807,-0.31807,0,1,0,0,0,0,0,0,0,0,0,0
0.9050483913157152,0.7218885024765542,1075761,3.8378095487451866,187.20499999999998,187.94,187.5725,196.01,110.90919416207643,53.609000477097055,-1.9808931050540934,-2.6838938300352626,-1.039174409132077,-1.3999497694325487,2016-02-17,-4.658119658119658,-2.944836167565329,0.18614270941054045,0.5615640599001729,0.31096138896086406,0.5078786300299525,2.0530973451327372,1.200071646068425,0.3807850029291229,0.9760425909494181,1.4172053704624572,0.6254691018263698,-0.39181541140618137,0.1962922573609516,2016-02-17,7,2016,2,12133.3,3.0577663017165913,270000.0,-11.475409836065575,-0.08258679548505121,1.63,1.07,0.0,7.2,13546.1,12545.6,5770.0,0.4807,-0.31807,0,1,0,0,0,0,0,0,0,0,0,0
-0.5745341614906756,0.16590626296142327,860548,3.6090285938706694,187.20499999999998,187.94,187.5725,195.495,102.8197270120253,52.18318261213224,-1.5590200362681799,-2.458919071281846,-0.8173939035983272,-1.2834385962657044,2016-02-18,-2.3465703971119116,-0.6723442402510021,-0.030927835051547562,0.12386457473163145,-0.2702702702702805,0.36166365280289475,-2.0808254514187463,0.849809226500177,-0.9593023255813904,0.3793405310767302,-0.7329587099926634,0.3432213777886751,1.839281804247857,-0.19667832167831362,2016-02-18,7,2016,2,12133.3,3.0577663017165913,270000.0,-11.475409836065575,0.16530223287680723,1.63,1.04,0.0,7.2,13546.1,12545.6,5770.0,0.4807,-0.31807,0,1,0,0,0,0,0,0,0,0,0,0
0.4341685410890896,-0.47894216252798993,795611,3.421125734483604,187.20499999999998,187.94,187.5725,195.495,71.47350830630069,52.01345903364849,-1.2179055802533298,-2.210716373076143,-0.6382330052995194,-1.1543974780724673,2016-02-19,-8.307280035730233,3.465804066543438,0.6527144633236736,-0.4640610498092223,0.6351263771872908,-0.4387662924248151,1.1213955144179468,-1.3347383210396875,0.7988165680473466,-0.7924860581156534,0.4446640316205527,-0.3691853310361941,-0.2375296912114002,-0.4300150505267593,2016-02-19,7,2016,2,12133.3,3.0577663017165913,270000.0,-11.475409836065575,-0.3610092678063115,1.63,1.0,0.0,7.2,13546.1,12545.6,5770.0,0.4807,-0.31807,0,1,0,0,0,0,0,0,0,0,0,0
0.4642046626779481,0.9791666666666643,748007,3.374013161035242,188.01999999999998,187.985,188.0025,195.135,138.63982102908236,56.69838450289682,-0.7150050169339863,-1.9115741018477117,-0.374117843777851,-0.9983415512135441,2016-02-22,-3.773584905660385,-1.899659035557723,0.5534488059854528,0.4323211528563947,0.34597642234750897,0.5151983513652829,0.6391432026256649,1.9010737546206622,0.37703016241300047,1.2034047549163387,0.4143309773336624,0.9099852434825494,0.6243272335844976,0.5411255411255411,2016-02-22,8,2016,2,12133.3,3.0577663017165913,269000.0,-15.14195583596214,0.8074521652356337,1.63,0.99,0.0,7.2,13546.1,12545.6,5770.0,0.5662,-0.32836,0,1,0,0,0,0,0,0,0,0,0,0
-0.8659793814433024,-0.40045179176506884,879314,3.296611844931718,188.01999999999998,187.985,188.0025,194.85000000000002,86.6473012690325,51.87231201596808,-0.5090857149950807,-1.6310764244771856,-0.26624894510066277,-0.8519230299909678,2016-02-23,6.227848101265825,1.909184726522193,0.12261162766934743,-0.2446233819182498,0.11529592621061159,-0.31924403013663644,-2.478336221837088,-0.9612083762444132,-1.2779552715654887,-0.5200809014735618,-1.1698757007068095,-0.41262135922330506,0.4078128353723926,-0.32092426187419465,2016-02-23,8,2016,2,12133.3,3.0577663017165913,269000.0,-15.14195583596214,0.10269676148724205,1.63,0.98,0.0,7.2,13546.1,12545.6,5770.0,0.5662,-0.32836,0,1,0,0,0,0,0,0,0,0,0,0
1.348161359702037,-0.8787437603993333,1191104,3.387950660438547,188.01999999999998,187.985,188.0025,194.85000000000002,57.362256999683716,53.4003633170051,-0.27175195176667444,-1.3592115299350835,-0.14201506359388966,-0.7099414367115522,2016-02-24,-7.001795332136455,6.196377502383225,0.9566916983849469,-0.7959995917950823,0.9283135636926235,-0.7549584133077458,2.8406006875339247,-1.7771459036786919,1.2238805970149151,-1.44160047072669,1.8698578908002992,-1.0850801479654693,0.4702864471996555,0.0,2016-02-24,8,2016,2,12133.3,3.0577663017165913,269000.0,-15.14195583596214,-0.02052141133775942,1.63,1.0,0.0,7.2,13546.1,12545.6,5770.0,0.5662,-0.32836,0,1,0,0,0,0,0,0,0,0,0,0
